what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1451460762424
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1451460762424
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1451460762424
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1451460762424
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1451460762424
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1451460762424
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1451460762424
os,sysinfo,,,"linux",1451460762428
arch,sysinfo,,,"x86_64",1451460762428
ws,sysinfo,,,"gtk",1451460762428
locale,sysinfo,,,"es_AR",1451460762428
processors,sysinfo,,,"4",1451460762428
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1451460762428
java.runtime.version,sysinfo,,,"1.8.0_66-b17",1451460762428
java.specification.name,sysinfo,,,"Java Platform API Specification",1451460762428
java.specification.vendor,sysinfo,,,"Oracle Corporation",1451460762428
java.specification.version,sysinfo,,,"1.8",1451460762428
java.vendor,sysinfo,,,"Oracle Corporation",1451460762428
java.version,sysinfo,,,"1.8.0_66",1451460762428
java.vm.info,sysinfo,,,"mixed mode",1451460762428
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1451460762428
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1451460762428
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1451460762428
java.vm.specification.version,sysinfo,,,"1.8",1451460762428
java.vm.vendor,sysinfo,,,"Oracle Corporation",1451460762428
java.vm.version,sysinfo,,,"25.66-b17",1451460762428
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1451460832598
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1451460841905
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1451460842031
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1451460842033
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1451460842035
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1451460842036
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1451460842037
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1451460842039
